model,arm,task,press,kept,lang,n_answered,n_exact_copy,n_near_copy,n_novel,n_distractor_exact,exact_rate,near_rate,near_ci_low,near_ci_high,novel_rate,novel_ci_low,novel_ci_high,n_target_near_truncation,n_target_near_prefix,n_any_exact,n_any_near,n_any_novel,any_novel_rate,any_novel_ci_low,any_novel_ci_high
qwen25-7b-1m,qa,niah_single,knorm,0.25,pl,6.0,1.0,4.0,1.0,0.0,0.1667,0.6667,0.3,0.9032,0.1667,0.0301,0.5635,3.0,3.0,1.0,4.0,1.0,0.1667,0.0301,0.5635
qwen25-7b-1m,qa,niah_single,knorm,0.25,vi,15.0,2.0,10.0,3.0,0.0,0.1333,0.6667,0.4171,0.8482,0.2,0.0705,0.4519,2.0,2.0,2.0,10.0,3.0,0.2,0.0705,0.4519
qwen25-7b-1m,qa,niah_single,knorm,0.25,zh,11.0,0.0,2.0,9.0,0.0,0.0,0.1818,0.0514,0.477,0.8182,0.523,0.9486,0.0,0.0,0.0,2.0,9.0,0.8182,0.523,0.9486
qwen25-7b-1m,qa,niah_single,knorm,0.5,en,28.0,4.0,23.0,1.0,0.0,0.1429,0.8214,0.6441,0.9212,0.0357,0.0063,0.1771,5.0,5.0,4.0,23.0,1.0,0.0357,0.0063,0.1771
qwen25-7b-1m,qa,niah_single,knorm,0.5,ja,49.0,7.0,36.0,6.0,0.0,0.1429,0.7347,0.5974,0.8379,0.1224,0.0573,0.2424,7.0,7.0,7.0,36.0,6.0,0.1224,0.0573,0.2424
qwen25-7b-1m,qa,niah_single,knorm,0.5,ko,96.0,64.0,32.0,0.0,0.0,0.6667,0.3333,0.2471,0.4324,0.0,0.0,0.0385,13.0,13.0,64.0,32.0,0.0,0.0,0.0,0.0385
qwen25-7b-1m,qa,niah_single,knorm,0.5,pl,56.0,19.0,36.0,1.0,0.0,0.3393,0.6429,0.5119,0.7554,0.0179,0.0032,0.0945,21.0,21.0,19.0,36.0,1.0,0.0179,0.0032,0.0945
qwen25-7b-1m,qa,niah_single,knorm,0.5,sw,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.3424,1.0,0.0,0.0,0.6576,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6576
qwen25-7b-1m,qa,niah_single,knorm,0.5,vi,50.0,11.0,32.0,7.0,0.0,0.22,0.64,0.5014,0.7586,0.14,0.0695,0.2619,8.0,8.0,11.0,32.0,7.0,0.14,0.0695,0.2619
qwen25-7b-1m,qa,niah_single,knorm,0.5,zh,41.0,7.0,18.0,16.0,0.0,0.1707,0.439,0.2989,0.5896,0.3902,0.2566,0.5427,3.0,3.0,7.0,18.0,16.0,0.3902,0.2566,0.5427
qwen25-7b-1m,qa,niah_single,none,1.0,en,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
qwen25-7b-1m,qa,niah_single,none,1.0,ja,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,qa,niah_single,none,1.0,ko,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.037,0.0,0.0,0.037,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.037
qwen25-7b-1m,qa,niah_single,none,1.0,pl,99.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0374,0.0,0.0,0.0374,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0374
qwen25-7b-1m,qa,niah_single,none,1.0,sw,50.0,49.0,1.0,0.0,0.0,0.98,0.02,0.0035,0.105,0.0,0.0,0.0714,1.0,1.0,49.0,1.0,0.0,0.0,0.0,0.0714
qwen25-7b-1m,qa,niah_single,none,1.0,vi,96.0,96.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0385,0.0,0.0,0.0385,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0385
qwen25-7b-1m,qa,niah_single,none,1.0,zh,98.0,98.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0377,0.0,0.0,0.0377,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0377
qwen25-7b-1m,qa,niah_single,snapkv,0.25,en,62.0,7.0,30.0,25.0,0.0,0.1129,0.4839,0.3641,0.6055,0.4032,0.2902,0.5275,0.0,0.0,7.0,30.0,25.0,0.4032,0.2902,0.5275
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ja,43.0,6.0,14.0,23.0,0.0,0.1395,0.3256,0.2049,0.4748,0.5349,0.3892,0.6749,0.0,0.0,6.0,14.0,23.0,0.5349,0.3892,0.6749
qwen25-7b-1m,qa,niah_single,snapkv,0.25,ko,84.0,73.0,11.0,0.0,0.0,0.869,0.131,0.0747,0.2195,0.0,0.0,0.0437,7.0,7.0,73.0,11.0,0.0,0.0,0.0,0.0437
qwen25-7b-1m,qa,niah_single,snapkv,0.25,pl,20.0,4.0,8.0,8.0,0.0,0.2,0.4,0.2188,0.6134,0.4,0.2188,0.6134,0.0,0.0,4.0,8.0,8.0,0.4,0.2188,0.6134
qwen25-7b-1m,qa,niah_single,snapkv,0.25,sw,10.0,9.0,1.0,0.0,0.0,0.9,0.1,0.0179,0.4042,0.0,0.0,0.2775,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.2775
qwen25-7b-1m,qa,niah_single,snapkv,0.25,vi,12.0,0.0,7.0,5.0,0.0,0.0,0.5833,0.3195,0.8067,0.4167,0.1933,0.6805,0.0,0.0,0.0,7.0,5.0,0.4167,0.1933,0.6805
qwen25-7b-1m,qa,niah_single,snapkv,0.25,zh,34.0,11.0,11.0,12.0,0.0,0.3235,0.3235,0.1913,0.4916,0.3529,0.2149,0.5209,0.0,0.0,11.0,11.0,12.0,0.3529,0.2149,0.5209
qwen25-7b-1m,qa,niah_single,snapkv,0.5,en,81.0,37.0,33.0,11.0,0.0,0.4568,0.4074,0.307,0.5162,0.1358,0.0776,0.227,1.0,1.0,37.0,33.0,11.0,0.1358,0.0776,0.227
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ja,63.0,17.0,35.0,11.0,0.0,0.2698,0.5556,0.4332,0.6715,0.1746,0.1004,0.2862,0.0,0.0,17.0,35.0,11.0,0.1746,0.1004,0.2862
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ko,96.0,94.0,2.0,0.0,0.0,0.9792,0.0208,0.0057,0.0728,0.0,0.0,0.0385,2.0,2.0,94.0,2.0,0.0,0.0,0.0,0.0385
qwen25-7b-1m,qa,niah_single,snapkv,0.5,pl,75.0,44.0,24.0,7.0,0.0,0.5867,0.32,0.2254,0.4321,0.0933,0.0459,0.1803,8.0,8.0,44.0,24.0,8.0,0.1067,0.055,0.1966
qwen25-7b-1m,qa,niah_single,snapkv,0.5,sw,24.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.138,0.0,0.0,0.138,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.138
qwen25-7b-1m,qa,niah_single,snapkv,0.5,vi,43.0,6.0,19.0,18.0,0.0,0.1395,0.4419,0.3043,0.5889,0.4186,0.2838,0.5667,0.0,0.0,6.0,19.0,18.0,0.4186,0.2838,0.5667
qwen25-7b-1m,qa,niah_single,snapkv,0.5,zh,82.0,36.0,20.0,26.0,0.0,0.439,0.2439,0.1638,0.3469,0.3171,0.2265,0.424,1.0,1.0,36.0,20.0,27.0,0.3293,0.2372,0.4366
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,en,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1246,0.0,0.0,0.1246,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.1246
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ja,28.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1206,0.0,0.0,0.1206,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.1206
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ko,28.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1206,0.0,0.0,0.1206,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.1206
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,pl,28.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1206,0.0,0.0,0.1206,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.1206
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,sw,10.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2775,0.0,0.0,0.2775,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.2775
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,vi,29.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.117,0.0,0.0,0.117,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.117
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,zh,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1246,0.0,0.0,0.1246,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.1246
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,en,45.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0787,0.0,0.0,0.0787,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0787
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ja,46.0,46.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0771,0.0,0.0,0.0771,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0771
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ko,49.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0727,0.0,0.0,0.0727,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0727
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,pl,49.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0727,0.0,0.0,0.0727,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0727
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,sw,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2425,0.0,0.0,0.2425,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.2425
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,vi,50.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0714,0.0,0.0,0.0714,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0714
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,zh,43.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.082,0.0,0.0,0.082,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.082
