model,arm,task,press,kept,lang,n_answered,n_exact_copy,n_near_copy,n_novel,n_distractor_exact,exact_rate,near_rate,near_ci_low,near_ci_high,novel_rate,novel_ci_low,novel_ci_high,n_target_near_truncation,n_target_near_prefix,n_any_exact,n_any_near,n_any_novel,any_novel_rate,any_novel_ci_low,any_novel_ci_high
llama31-8b,qa,niah_none,knorm,0.25,ko,87.0,85.0,1.0,1.0,85.0,0.977,0.0115,0.002,0.0623,0.0115,0.002,0.0623,0.0,0.0,85.0,55.0,8.0,0.092,0.0473,0.1711
llama31-8b,qa,niah_none,knorm,0.25,pl,10.0,1.0,8.0,1.0,1.0,0.1,0.8,0.4902,0.9433,0.1,0.0179,0.4042,0.0,0.0,1.0,8.0,2.0,0.2,0.0567,0.5098
llama31-8b,qa,niah_none,knorm,0.25,sw,61.0,21.0,39.0,1.0,21.0,0.3443,0.6393,0.5139,0.7483,0.0164,0.0029,0.0872,0.0,0.0,21.0,44.0,5.0,0.082,0.0355,0.1779
llama31-8b,qa,niah_none,knorm,0.25,vi,66.0,21.0,45.0,0.0,21.0,0.3182,0.6818,0.5621,0.7815,0.0,0.0,0.055,0.0,0.0,21.0,53.0,8.0,0.1212,0.0627,0.2214
llama31-8b,qa,niah_none,knorm,0.25,zh,44.0,10.0,34.0,0.0,10.0,0.2273,0.7727,0.6301,0.8716,0.0,0.0,0.0803,0.0,0.0,10.0,38.0,8.0,0.1818,0.0951,0.3196
llama31-8b,qa,niah_none,knorm,0.5,en,28.0,18.0,10.0,0.0,18.0,0.6429,0.3571,0.2071,0.5417,0.0,0.0,0.1206,0.0,0.0,18.0,14.0,7.0,0.25,0.1268,0.4336
llama31-8b,qa,niah_none,knorm,0.5,ja,66.0,50.0,15.0,1.0,50.0,0.7576,0.2273,0.1429,0.3417,0.0152,0.0027,0.081,0.0,0.0,50.0,51.0,12.0,0.1818,0.1072,0.2915
llama31-8b,qa,niah_none,knorm,0.5,ko,90.0,90.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0409,0.0,0.0,0.0409,0.0,0.0,90.0,4.0,0.0,0.0,0.0,0.0409
llama31-8b,qa,niah_none,knorm,0.5,pl,6.0,3.0,3.0,0.0,3.0,0.5,0.5,0.1876,0.8124,0.0,0.0,0.3903,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.3903
llama31-8b,qa,niah_none,knorm,0.5,sw,25.0,19.0,6.0,0.0,19.0,0.76,0.24,0.115,0.4343,0.0,0.0,0.1332,0.0,0.0,19.0,10.0,1.0,0.04,0.0071,0.1954
llama31-8b,qa,niah_none,knorm,0.5,vi,54.0,43.0,11.0,0.0,43.0,0.7963,0.2037,0.1177,0.329,0.0,0.0,0.0664,0.0,0.0,43.0,26.0,2.0,0.037,0.0102,0.1254
llama31-8b,qa,niah_none,knorm,0.5,zh,79.0,52.0,27.0,0.0,52.0,0.6582,0.3418,0.2467,0.4515,0.0,0.0,0.0464,0.0,0.0,52.0,63.0,17.0,0.2152,0.1389,0.3179
llama31-8b,qa,niah_none,none,1.0,en,38.0,38.0,0.0,0.0,38.0,1.0,0.0,0.0,0.0918,0.0,0.0,0.0918,0.0,0.0,38.0,1.0,0.0,0.0,0.0,0.0918
llama31-8b,qa,niah_none,none,1.0,ja,56.0,56.0,0.0,0.0,56.0,1.0,0.0,0.0,0.0642,0.0,0.0,0.0642,0.0,0.0,56.0,1.0,0.0,0.0,0.0,0.0642
llama31-8b,qa,niah_none,none,1.0,ko,87.0,87.0,0.0,0.0,87.0,1.0,0.0,0.0,0.0423,0.0,0.0,0.0423,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0423
llama31-8b,qa,niah_none,none,1.0,pl,9.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,0.2992,0.0,0.0,0.2992,0.0,0.0,9.0,0.0,2.0,0.2222,0.0632,0.5474
