model,lang,press,kept,acc_joint,acc_qa,d_joint_minus_qa,ci_low,ci_high,sig,p,n,q,sig_bh
qwen25-7b-1m,pl,knorm,0.25,0.01,0.01,0.0,-0.03,0.03,False,1.0,100,1.0,False
qwen25-7b-1m,sw,none,1.0,0.56,0.48,0.08,0.01,0.15,True,0.036,100,1.0,False
qwen25-7b-1m,sw,snapkv,0.5,0.59,0.23,0.36,0.26,0.47,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,sw,snapkv,0.25,0.48,0.08,0.4,0.3,0.5,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,sw,streaming_llm,0.5,0.25,0.11,0.14,0.06,0.22,True,0.001,100,0.002625,True
qwen25-7b-1m,sw,streaming_llm,0.25,0.14,0.07,0.07,0.0,0.14,False,0.061,100,0.15070588235294116,False
qwen25-7b-1m,sw,knorm,0.5,0.08,0.0,0.08,0.03,0.14,True,0.001,100,0.002625,True
qwen25-7b-1m,sw,knorm,0.25,0.01,0.0,0.01,0.0,0.03,False,0.712,100,1.0,False
qwen25-7b-1m,vi,none,1.0,0.96,0.96,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,vi,snapkv,0.5,0.96,0.06,0.9,0.84,0.95,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,vi,snapkv,0.25,0.96,0.0,0.96,0.92,0.99,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,vi,streaming_llm,0.5,0.49,0.5,-0.01,-0.03,0.0,False,0.737,100,1.0,False
qwen25-7b-1m,vi,streaming_llm,0.25,0.28,0.29,-0.01,-0.03,0.0,False,0.737,100,1.0,False
qwen25-7b-1m,vi,knorm,0.5,0.11,0.11,0.0,-0.04,0.04,False,1.0,100,1.0,False
qwen25-7b-1m,vi,knorm,0.25,0.0,0.02,-0.02,-0.05,0.0,False,0.236,100,0.49559999999999993,False
qwen25-7b-1m,zh,none,1.0,0.98,0.98,0.0,0.0,0.0,False,1.0,100,1.0,False
qwen25-7b-1m,zh,snapkv,0.5,0.98,0.36,0.62,0.53,0.71,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,zh,snapkv,0.25,0.98,0.11,0.87,0.8,0.93,True,0.0009995002498750624,100,0.002625,True
qwen25-7b-1m,zh,streaming_llm,0.5,0.42,0.43,-0.01,-0.03,0.0,False,0.75,100,1.0,False
qwen25-7b-1m,zh,streaming_llm,0.25,0.25,0.27,-0.02,-0.05,0.0,False,0.274,100,0.548,False
qwen25-7b-1m,zh,knorm,0.5,0.09,0.06,0.03,-0.03,0.09,False,0.421,100,0.7687826086956521,False
qwen25-7b-1m,zh,knorm,0.25,0.0,0.0,0.0,0.0,0.0,False,1.0,100,1.0,False
