model,arm,task,lang,press,kept,drop,d_false_absence,d_wrong_number,d_other,share_false_absence,share_wrong_number,share_other,d_false_presence_distractor,d_false_presence_hallucinated,share_false_presence_distractor,share_false_presence_hallucinated
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,0.54,,,0.22,,,0.4074074074074074,0.16,0.16,0.2962962962962963,0.2962962962962963
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,0.15,,,0.0,,,0.0,-0.20999999999999996,0.36,-1.4,2.4
llama31-8b,qa,niah_none,vi,streaming_llm,0.25,-0.050000000000000044,,,0.0,,,,-0.13999999999999999,0.09,,
llama31-8b,qa,niah_none,zh,streaming_llm,0.25,-0.4,,,-0.01,,,,-0.41,0.02,,
llama31-8b,qa,niah_none,en,streaming_llm,0.5,-0.030000000000000027,,,0.0,,,,-0.09999999999999998,0.07,,
llama31-8b,qa,niah_none,ja,streaming_llm,0.5,-0.17999999999999994,,,0.0,,,,-0.18,0.0,,
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,0.57,,,0.0,,,0.0,0.5599999999999999,0.01,0.9824561403508771,0.01754385964912281
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,0.2400000000000001,,,0.0,,,0.0,0.15,0.09,0.6249999999999997,0.37499999999999983
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,0.19,,,0.01,,,0.05263157894736842,0.14,0.04,0.736842105263158,0.21052631578947367
llama31-8b,qa,niah_none,vi,streaming_llm,0.5,-0.10999999999999999,,,0.0,,,,-0.13,0.02,,
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,-0.04999999999999999,,,-0.02,,,,-0.040000000000000036,0.01,,
llama31-8b,qa,niah_single,en,knorm,0.25,0.83,0.06,0.77,0.0,0.07228915662650602,0.9277108433734941,0.0,,,,
llama31-8b,qa,niah_single,ja,knorm,0.25,0.8099999999999999,0.15000000000000002,0.66,0.0,0.18518518518518523,0.8148148148148149,0.0,,,,
llama31-8b,qa,niah_single,ko,knorm,0.25,-0.04999999999999993,-0.06,0.009999999999999998,0.0,,,,,,,
llama31-8b,qa,niah_single,pl,knorm,0.25,0.7999999999999999,0.28,0.52,0.0,0.3500000000000001,0.65,0.0,,,,
llama31-8b,qa,niah_single,sw,knorm,0.25,0.8600000000000001,0.0,0.78,0.08,0.0,0.9069767441860465,0.09302325581395347,,,,
llama31-8b,qa,niah_single,vi,knorm,0.25,0.76,-0.1,0.86,0.0,-0.13157894736842105,1.131578947368421,0.0,,,,
llama31-8b,qa,niah_single,zh,knorm,0.25,0.9299999999999999,0.26,0.67,0.0,0.2795698924731183,0.7204301075268819,0.0,,,,
llama31-8b,qa,niah_single,en,knorm,0.5,0.28,0.0,0.28,0.0,0.0,1.0,0.0,,,,
llama31-8b,qa,niah_single,ja,knorm,0.5,0.49,0.06,0.43,0.0,0.12244897959183673,0.8775510204081632,0.0,,,,
llama31-8b,qa,niah_single,ko,knorm,0.5,-0.09999999999999998,-0.09,-0.01,0.0,,,,,,,
llama31-8b,qa,niah_single,pl,knorm,0.5,0.54,0.09,0.45,0.0,0.16666666666666666,0.8333333333333333,0.0,,,,
llama31-8b,qa,niah_single,sw,knorm,0.5,0.24,-0.01,0.21000000000000002,0.04,-0.04166666666666667,0.8750000000000001,0.16666666666666669,,,,
llama31-8b,qa,niah_single,vi,knorm,0.5,0.10999999999999999,-0.08,0.19,0.0,-0.7272727272727274,1.7272727272727275,0.0,,,,
llama31-8b,qa,niah_single,zh,knorm,0.5,0.62,0.02,0.6,0.0,0.03225806451612903,0.9677419354838709,0.0,,,,
llama31-8b,qa,niah_single,en,snapkv,0.25,0.55,0.36,0.18,0.01,0.6545454545454544,0.3272727272727272,0.01818181818181818,,,,
llama31-8b,qa,niah_single,ja,snapkv,0.25,0.77,0.22,0.55,0.0,0.2857142857142857,0.7142857142857143,0.0,,,,
llama31-8b,qa,niah_single,ko,snapkv,0.25,0.15000000000000002,0.1,0.05,0.0,0.6666666666666666,0.3333333333333333,0.0,,,,
llama31-8b,qa,niah_single,pl,snapkv,0.25,0.84,0.64,0.2,0.0,0.761904761904762,0.2380952380952381,0.0,,,,
llama31-8b,qa,niah_single,sw,snapkv,0.25,0.020000000000000018,0.049999999999999996,-0.019999999999999997,-0.01,2.499999999999998,-0.999999999999999,-0.49999999999999956,,,,
