model,arm,task,lang,press,kept,acc,acc_robust,n,delta_robust
llama31-8b,qa,niah_none,zh,streaming_llm,0.5,0.29,0.28,100,0.01
llama31-8b,qa,niah_single,en,knorm,0.25,0.17,0.17,100,0.0
llama31-8b,qa,niah_single,en,knorm,0.5,0.72,0.72,100,0.0
llama31-8b,qa,niah_single,en,none,1.0,1.0,1.0,100,0.0
llama31-8b,qa,niah_single,en,snapkv,0.25,0.45,0.45,100,0.0
llama31-8b,qa,niah_single,en,snapkv,0.5,0.9,0.9,100,0.0
llama31-8b,qa,niah_single,en,streaming_llm,0.25,0.27,0.27,100,0.0
llama31-8b,qa,niah_single,en,streaming_llm,0.5,0.46,0.46,100,0.0
llama31-8b,qa,niah_single,ja,knorm,0.25,0.17,0.17,100,0.0
llama31-8b,qa,niah_single,ja,knorm,0.5,0.49,0.49,100,0.0
llama31-8b,qa,niah_single,ja,none,1.0,0.98,0.98,100,0.0
llama31-8b,qa,niah_single,ja,snapkv,0.25,0.21,0.21,100,0.0
llama31-8b,qa,niah_single,ja,snapkv,0.5,0.76,0.76,100,0.0
llama31-8b,qa,niah_single,ja,streaming_llm,0.25,0.25,0.25,100,0.0
llama31-8b,qa,niah_single,ja,streaming_llm,0.5,0.45,0.45,100,0.0
llama31-8b,qa,niah_single,ko,knorm,0.25,0.82,0.82,100,0.0
llama31-8b,qa,niah_single,ko,knorm,0.5,0.87,0.87,100,0.0
llama31-8b,qa,niah_single,ko,none,1.0,0.77,0.83,100,-0.06
llama31-8b,qa,niah_single,ko,snapkv,0.25,0.62,0.72,100,-0.1
llama31-8b,qa,niah_single,ko,snapkv,0.5,0.78,0.82,100,-0.04
llama31-8b,qa,niah_single,ko,streaming_llm,0.25,0.21,0.21,100,0.0
llama31-8b,qa,niah_single,ko,streaming_llm,0.5,0.38,0.4,100,-0.02
llama31-8b,qa,niah_single,pl,knorm,0.25,0.04,0.04,100,0.0
llama31-8b,qa,niah_single,pl,knorm,0.5,0.3,0.3,100,0.0
llama31-8b,qa,niah_single,pl,none,1.0,0.84,0.84,100,0.0
llama31-8b,qa,niah_single,pl,snapkv,0.25,0.0,0.0,100,0.0
llama31-8b,qa,niah_single,pl,snapkv,0.5,0.3,0.3,100,0.0
llama31-8b,qa,niah_single,pl,streaming_llm,0.25,0.28,0.28,100,0.0
llama31-8b,qa,niah_single,pl,streaming_llm,0.5,0.49,0.49,100,0.0
llama31-8b,qa,niah_single,sw,knorm,0.25,0.06,0.06,100,0.0
llama31-8b,qa,niah_single,sw,knorm,0.5,0.68,0.68,100,0.0
llama31-8b,qa,niah_single,sw,none,1.0,0.92,0.92,100,0.0
llama31-8b,qa,niah_single,sw,snapkv,0.25,0.9,0.9,100,0.0
llama31-8b,qa,niah_single,sw,snapkv,0.5,0.91,0.91,100,0.0
llama31-8b,qa,niah_single,sw,streaming_llm,0.25,0.27,0.27,100,0.0
llama31-8b,qa,niah_single,sw,streaming_llm,0.5,0.43,0.43,100,0.0
