model,lang,task,kept,sample_id,keep_overall,keep_value,keep_window,keep_question,keep_haystack,keep_overall_high,keep_value_high,keep_window_high,keep_question_high,keep_haystack_high,arm,frac_value_evicted,n_tokens,n_value_tokens,n_question_tokens,depth
llama31-8b,ko,niah_single,0.5,2,0.5,0.9596354174427688,0.5710018589161336,0.91796875,0.4986192031065002,0.5,0.04166666720993817,0.42991728795459494,0.08274529544723919,0.5013763528550044,joint,0.01953125,32700,3,93,0.9453
llama31-8b,ko,niah_single,0.5,3,0.5,0.9622395840706304,0.7201344921486452,0.9253612228203565,0.498249223572202,0.5,0.03515625058207661,0.27808544221988996,0.07476478437456535,0.5017547395545989,joint,0.015625,32700,3,93,0.1445
llama31-8b,ko,niah_single,0.5,4,0.5,0.9570312511641532,0.5721628291066736,0.9184782644733787,0.4986478788778186,0.5,0.042968750931322575,0.4265522214118391,0.08160665719333338,0.5013548815622926,joint,0.01171875,32698,3,92,0.9627
llama31-8b,ko,niah_single,0.5,5,0.5,0.9453125009313226,0.5016196644864976,0.920782929752022,0.4987927559996024,0.5,0.05468750081490725,0.4984756096964702,0.07913306423870381,0.5012072426034138,joint,0.02734375,32700,3,93,0.876
llama31-8b,ko,niah_single,0.5,6,0.5,0.9531250008149073,0.5770474112359807,0.9206414473010227,0.4985651517054066,0.5,0.04687500081490725,0.4235811778344214,0.07956414518412203,0.5014325644588098,joint,0.01953125,32704,3,95,0.9453
llama31-8b,ko,niah_single,0.5,7,0.5,0.9570312508149073,0.49623842572327703,0.9189348107902333,0.4988115275045857,0.5,0.04296875069849193,0.5053530085133389,0.08093918005397427,0.5011848694412038,joint,0.01953125,32700,3,93,0.6883
llama31-8b,ko,niah_single,0.5,8,0.5,0.9583333341870457,0.6228185869986191,0.9235131054883823,0.49849849892780185,0.5,0.04166666744276881,0.37525365175679326,0.07602486545147258,0.5015073859831318,joint,0.015625,32700,3,93,0.3404
llama31-8b,ko,niah_single,0.5,9,0.5,0.9570312509313226,0.5472756498493254,0.9208059213124216,0.4986577704548836,0.5,0.04296875069849193,0.45402644883142784,0.07902960524370428,0.501339586917311,joint,0.01953125,32704,3,95,0.6302
llama31-8b,ko,niah_single,0.5,10,0.5,0.9596354174427688,0.5953733747592196,0.9164311878848821,0.4985709546599537,0.5,0.04296875069849193,0.4045758922584355,0.08323636964996695,0.5014301260234788,joint,0.015625,32702,3,94,0.9627
llama31-8b,ko,niah_single,0.5,11,0.5,0.950520834303461,0.5106577938422561,0.9201528886333108,0.49877213477157056,0.5,0.04947916744276881,0.4914158941246569,0.07938508038932923,0.501224021660164,joint,0.0234375,32700,3,93,0.876
llama31-8b,ko,niah_single,0.5,12,0.5,0.966145833954215,0.5304687663447112,0.9191738737281412,0.4987088462803513,0.5,0.03515625046566129,0.4702206020010635,0.08065990707837045,0.5012898282147944,joint,0.01953125,32702,3,94,0.9055
llama31-8b,ko,niah_single,0.5,13,0.5,0.958333334303461,0.6150760127929971,0.9197748643346131,0.4985382618615404,0.5,0.04427083407063037,0.38703547182376496,0.08068716405978194,0.5014556129463017,joint,0.01953125,32700,3,93,0.9222
llama31-8b,ko,niah_single,0.5,14,0.5,0.9518229176755995,0.8128375796368346,0.9297724207863212,0.4980052600149065,0.5,0.04817708418704569,0.18629436648916453,0.07018512202557758,0.5019970204448327,joint,0.01953125,32698,3,92,0.0663
llama31-8b,ko,niah_single,0.5,15,0.5,0.9596354175591841,0.7220134483650327,0.9273353489115834,0.49823901685886085,0.5,0.03906250081490725,0.2765031639537483,0.07224462320300518,0.5017657857388258,joint,0.01171875,32700,3,93,0.1445
llama31-8b,ko,niah_single,0.5,16,0.5,0.9596354177920148,0.5762648831587285,0.9212029573973268,0.4985985872335732,0.5,0.039062501047737896,0.41931733628734946,0.07955309124008636,0.5014106542803347,joint,0.00390625,32700,3,93,0.4415
llama31-8b,ko,niah_single,0.5,17,0.5,0.9648437509313226,0.7018771710572764,0.9246471780352294,0.49833940842654556,0.5,0.03515625069849193,0.29790581692941487,0.07623487857199507,0.501658562454395,joint,0.01171875,32700,3,93,0.2656
llama31-8b,ko,niah_single,0.5,18,0.5,0.9609375006984919,0.5818934035487473,0.9227476769592613,0.4985641163075343,0.5,0.03776041732635349,0.41323530208319426,0.07708610371992108,0.5014490904286504,joint,0.015625,32702,3,94,0.4415
llama31-8b,ko,niah_single,0.5,19,0.5,0.9609375006984919,0.5102237652754411,0.9203208993421867,0.49877273524180055,0.5,0.04036458395421505,0.4919945978326723,0.0793430774974695,0.5012226977851242,joint,0.01953125,32700,3,93,0.876
llama31-8b,ko,niah_single,0.5,20,0.5,0.962239584303461,0.5364412025082856,0.9203208986436948,0.4987132465466857,0.5,0.037760417559184134,0.4658203150611371,0.07934307756659109,0.5012824311852455,joint,0.0078125,32700,3,93,0.6302
llama31-8b,ko,niah_single,0.5,21,0.5,0.9622395844198763,0.5037084674695507,0.9203629021067172,0.49878914456348866,0.5,0.03776041732635349,0.5073674857849255,0.07967909894432523,0.5011838361388072,joint,0.015625,32700,3,93,0.5149
llama31-8b,ko,niah_single,0.5,22,0.5,0.9583333341870457,0.4954427145421505,0.9226817281451076,0.498815443366766,0.5,0.04296875081490725,0.5166766910115257,0.0774031926994212,0.5011552541982383,joint,0.015625,32698,3,92,0.515
llama31-8b,ko,niah_single,0.5,23,0.5,0.9635416675591841,0.6192434217082337,0.9224694317672402,0.4985265979776159,0.5,0.03385416720993817,0.37931743505760096,0.07829483687237371,0.5014746030792594,joint,0.015625,32698,3,92,0.3404
llama31-8b,en,niah_single,0.5,0,0.49998489022254944,0.9544270845362917,0.8388157925801352,0.9195667657768354,0.4987552245147526,0.49998489022254944,0.04427083418704569,0.16159539489308372,0.08019649714697152,0.5012144655920565,joint,0.015625,33095,3,66,0.0309
llama31-8b,en,niah_single,0.5,1,0.49998489022254944,0.9505208348855376,0.6604082601843402,0.9177911981241778,0.4989985185675323,0.49998489022254944,0.05078125128056854,0.3383316438412294,0.08203125174622983,0.5009727177675813,joint,0.0078125,33095,3,66,0.2223
llama31-8b,en,niah_single,0.5,2,0.49998489022254944,0.9296875013969839,0.5405016443692148,0.9165694994153455,0.49909222731366754,0.49998489022254944,0.07161458453629166,0.4589843766298145,0.08360541018555523,0.5008776994654909,joint,0.03515625,33097,3,67,0.9346
llama31-8b,en,niah_single,0.5,3,0.49998489022254944,0.9583333345362917,0.8388671875,0.919981065671891,0.49881617922801524,0.49998489022254944,0.042968750931322575,0.1597900390625,0.08007812639698386,0.5011546984314919,joint,0.0078125,33095,3,66,0.1399
llama31-8b,en,niah_single,0.5,4,0.49998489022254944,0.9401041683740914,0.6771205532131717,0.9168442290974781,0.4989631185308099,0.49998489022254944,0.06119791802484542,0.3236607232975075,0.08362926280824468,0.5010047993855551,joint,0.015625,33095,3,66,0.9597
llama31-8b,en,niah_single,0.5,5,0.49998489022254944,0.938802084652707,0.7173394120763987,0.9122869363054633,0.49892295175231993,0.49998489022254944,0.05859375116415322,0.28222656541038305,0.08759469847427681,0.5010474590817466,joint,0.0234375,33095,3,66,0.8566
llama31-8b,en,niah_single,0.5,6,0.49998489022254944,0.9322916683740914,0.5315667215036228,0.9187973530497402,0.499111644923687,0.49998489022254944,0.06770833465270698,0.47012246621306986,0.08203125122236088,0.5008544943993911,joint,0.0234375,33095,3,66,0.9346
llama31-8b,en,niah_single,0.5,7,0.49998489022254944,0.9453125016298145,0.6544053815305233,0.9133522771298885,0.49898948962800205,0.49998489022254944,0.05598958441987634,0.34657118233735673,0.08723958494374529,0.5009779586689547,joint,0.015625,33095,3,66,0.6911
llama31-8b,en,niah_single,0.5,8,0.49998489022254944,0.9479166679084301,0.7891680726315826,0.9173857310088351,0.4988129633711651,0.49998489022254944,0.05208333441987634,0.20988175562524702,0.08238106322460226,0.501158278202638,joint,0.015625,33097,3,67,0.3398
llama31-8b,en,niah_single,0.5,9,0.49998489022254944,0.9544270841870457,0.5635742176091298,0.9150094748474658,0.49907746294047683,0.49998489022254944,0.04427083407063037,0.43710937385912985,0.08599668648093939,0.5008893854683265,joint,0.015625,33095,3,66,0.6238
llama31-8b,en,niah_single,0.5,10,0.49998489022254944,0.9544270844198763,0.6822916655801237,0.9152285475283861,0.4989427567925304,0.49998489022254944,0.044270834303461015,0.3175998279621126,0.08482975721926778,0.5010269384365529,joint,0.01171875,33097,3,67,0.9597
llama31-8b,en,niah_single,0.5,11,0.49998489022254944,0.9544270848855376,0.7150548991048709,0.9117542672902346,0.4989199545234442,0.49998489022254944,0.045572917559184134,0.2857896957139019,0.08741714153438807,0.5010504403617233,joint,0.015625,33095,3,66,0.8566
llama31-8b,en,niah_single,0.5,12,0.49998489022254944,0.9570312509313226,0.6912977441679686,0.9161931867711246,0.49894355225842446,0.49998489022254944,0.04296875081490725,0.3069661474364693,0.08392519078915939,0.5010278030531481,joint,0.015625,33095,3,66,0.8879
llama31-8b,en,niah_single,0.5,13,0.49998489022254944,0.9453125018626451,0.5695929259527475,0.9161613826872781,0.4990595458075404,0.49998489022254944,0.05859375139698386,0.433182567183394,0.08378031681422726,0.5009070599917322,joint,0.01171875,33097,3,67,0.9046
llama31-8b,en,niah_single,0.5,14,0.49998489022254944,0.9570312510477379,0.8758042203262448,0.9209872195497155,0.4987554959952831,0.49998489022254944,0.044270834303461015,0.12500000245199772,0.07954545581014827,0.5012123041087762,joint,0.01171875,33095,3,66,0.0532
llama31-8b,en,niah_single,0.5,15,0.49998489022254944,0.9596354175591841,0.8411865234375,0.9187381673837081,0.49881641601677984,0.49998489022254944,0.04036458418704569,0.1583251953125,0.08126183901913464,0.5011537519749254,joint,0.01171875,33095,3,66,0.1399
llama31-8b,en,niah_single,0.5,16,0.49998489022254944,0.946614584652707,0.5580193084897473,0.9187973531661555,0.49908733868505806,0.49998489022254944,0.05338541779201478,0.43979780230438337,0.08072916779201478,0.5008855542400852,joint,0.015625,33095,3,66,0.4263
llama31-8b,en,niah_single,0.5,17,0.49998489022254944,0.9518229180248454,0.4753787957597524,0.9187381669180468,0.49917189171537757,0.49998489022254944,0.048177084303461015,0.5250947028398514,0.08031486824620515,0.5007992165628821,joint,0.015625,33095,3,66,0.2838
llama31-8b,en,niah_single,0.5,18,0.49998489022254944,0.9466145845362917,0.5678571602329612,0.9180853576399386,0.49906389659736305,0.49998489022254944,0.05338541779201478,0.42857143987203017,0.07975746281226748,0.5009139642352238,joint,0.015625,33097,3,67,0.4263
llama31-8b,en,niah_single,0.5,19,0.49998489022254944,0.9596354179084301,0.7203776069218293,0.912523677921854,0.4989191630156711,0.49998489022254944,0.04166666744276881,0.2797309061861597,0.08759469847427681,0.5010501819197088,joint,0.015625,33095,3,66,0.8566
llama31-8b,en,niah_single,0.5,20,0.49998489022254944,0.958333334303461,0.562890624627471,0.9119910089066252,0.4990843313280493,0.49998489022254944,0.045572917675599456,0.43828124878928065,0.08783144113840535,0.5008842926472425,joint,0.01171875,33095,3,66,0.6238
llama31-8b,en,niah_single,0.5,21,0.49998489022254944,0.9335937520954758,0.6871832752367482,0.9153645884944126,0.4989439898636192,0.49998489022254944,0.06510416814126074,0.30141469635418616,0.08558238769182935,0.5010365896159783,joint,0.015625,33095,3,66,0.4842
llama31-8b,en,niah_single,0.5,22,0.49998489022254944,0.9153645854676142,0.6768369912169874,0.9156605155440047,0.49895500170532614,0.49998489022254944,0.08333333523478359,0.31123310766997747,0.08345170633401722,0.5010298412526026,joint,0.01953125,33095,3,66,0.4842
llama31-8b,en,niah_single,0.5,23,0.49998489022254944,0.9557291680248454,0.7894847966963425,0.915068659116514,0.4988298543030396,0.49998489022254944,0.042968750931322575,0.21304898615198908,0.08386600483208895,0.5011391252046451,joint,0.01171875,33095,3,66,0.3398
