model,arm,task,lang,press,kept,correct,false_absence,wrong_number,other,false_presence_distractor,false_presence_hallucinated
qwen25-7b-1m,joint,niah_single,vi,knorm,0.25,0.0,0.03,0.97,0.0,,
qwen25-7b-1m,joint,niah_single,vi,knorm,0.5,0.11,0.01,0.88,0.0,,
qwen25-7b-1m,joint,niah_single,vi,none,1.0,0.96,0.04,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.25,0.96,0.04,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,vi,snapkv,0.5,0.96,0.04,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.25,0.28,0.1,0.49,0.13,,
qwen25-7b-1m,joint,niah_single,vi,streaming_llm,0.5,0.49,0.1,0.34,0.07,,
qwen25-7b-1m,joint,niah_single,zh,knorm,0.25,0.0,0.25,0.67,0.08,,
qwen25-7b-1m,joint,niah_single,zh,knorm,0.5,0.09,0.05,0.83,0.03,,
qwen25-7b-1m,joint,niah_single,zh,none,1.0,0.98,0.02,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.25,0.98,0.02,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,zh,snapkv,0.5,0.98,0.02,0.0,0.0,,
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.25,0.25,0.56,0.19,0.0,,
qwen25-7b-1m,joint,niah_single,zh,streaming_llm,0.5,0.42,0.46,0.12,0.0,,
qwen25-7b-1m,qa,niah_none,en,knorm,0.25,0.98,,,0.0,0.0,0.02
qwen25-7b-1m,qa,niah_none,en,knorm,0.5,0.99,,,0.0,0.01,0.0
qwen25-7b-1m,qa,niah_none,en,none,1.0,0.96,,,0.0,0.04,0.0
qwen25-7b-1m,qa,niah_none,en,snapkv,0.25,0.97,,,0.0,0.01,0.02
qwen25-7b-1m,qa,niah_none,en,snapkv,0.5,0.96,,,0.0,0.02,0.02
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.25,0.95,,,0.0,0.05,0.0
qwen25-7b-1m,qa,niah_none,en,streaming_llm,0.5,0.97,,,0.0,0.03,0.0
qwen25-7b-1m,qa,niah_none,ja,knorm,0.25,0.93,,,0.0,0.0,0.07
qwen25-7b-1m,qa,niah_none,ja,knorm,0.5,0.93,,,0.0,0.01,0.06
qwen25-7b-1m,qa,niah_none,ja,none,1.0,0.75,,,0.01,0.24,0.0
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.25,0.92,,,0.02,0.0,0.06
qwen25-7b-1m,qa,niah_none,ja,snapkv,0.5,0.86,,,0.01,0.02,0.11
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,0.78,,,0.11,0.11,0.0
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.5,0.57,,,0.3,0.12,0.01
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,0.76,,,0.0,0.04,0.2
qwen25-7b-1m,qa,niah_none,ko,knorm,0.5,0.55,,,0.01,0.43,0.01
qwen25-7b-1m,qa,niah_none,ko,none,1.0,0.37,,,0.02,0.61,0.0
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.25,0.62,,,0.02,0.29,0.07
qwen25-7b-1m,qa,niah_none,ko,snapkv,0.5,0.55,,,0.02,0.43,0.0
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.25,0.57,,,0.01,0.42,0.0
qwen25-7b-1m,qa,niah_none,ko,streaming_llm,0.5,0.41,,,0.02,0.57,0.0
qwen25-7b-1m,qa,niah_none,pl,knorm,0.25,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,pl,knorm,0.5,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,pl,none,1.0,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.25,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,pl,snapkv,0.5,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.25,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,pl,streaming_llm,0.5,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,0.9,,,0.04,0.01,0.05
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,0.83,,,0.14,0.01,0.02
qwen25-7b-1m,qa,niah_none,sw,none,1.0,0.58,,,0.0,0.36,0.06
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.25,0.95,,,0.01,0.04,0.0
qwen25-7b-1m,qa,niah_none,sw,snapkv,0.5,0.87,,,0.0,0.11,0.02
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.25,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,sw,streaming_llm,0.5,0.93,,,0.03,0.04,0.0
qwen25-7b-1m,qa,niah_none,vi,knorm,0.25,0.95,,,0.0,0.0,0.05
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,0.9,,,0.0,0.03,0.07
qwen25-7b-1m,qa,niah_none,vi,none,1.0,0.9,,,0.0,0.1,0.0
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,0.98,,,0.0,0.01,0.01
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,0.91,,,0.01,0.01,0.07
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.25,0.98,,,0.0,0.02,0.0
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.5,0.96,,,0.0,0.04,0.0
qwen25-7b-1m,qa,niah_none,zh,knorm,0.25,1.0,,,0.0,0.0,0.0
qwen25-7b-1m,qa,niah_none,zh,knorm,0.5,0.99,,,0.0,0.01,0.0
qwen25-7b-1m,qa,niah_none,zh,none,1.0,0.94,,,0.0,0.06,0.0
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.25,0.99,,,0.0,0.0,0.01
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.5,0.97,,,0.0,0.0,0.03
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.25,0.98,,,0.0,0.02,0.0
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.5,0.97,,,0.0,0.03,0.0
qwen25-7b-1m,qa,niah_single,en,knorm,0.25,0.02,0.39,0.59,0.0,,
qwen25-7b-1m,qa,niah_single,en,knorm,0.5,0.04,0.27,0.69,0.0,,
qwen25-7b-1m,qa,niah_single,en,none,1.0,0.98,0.02,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,0.07,0.17,0.74,0.02,,
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,0.37,0.03,0.6,0.0,,
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.25,0.27,0.71,0.02,0.0,,
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.5,0.45,0.55,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,ja,knorm,0.25,0.03,0.62,0.35,0.0,,
qwen25-7b-1m,qa,niah_single,ja,knorm,0.5,0.07,0.09,0.84,0.0,,
qwen25-7b-1m,qa,niah_single,ja,none,1.0,0.96,0.04,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,0.06,0.37,0.55,0.02,,
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,0.16,0.16,0.67,0.01,,
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.25,0.28,0.67,0.0,0.05,,
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.5,0.46,0.33,0.0,0.21,,
qwen25-7b-1m,qa,niah_single,ko,knorm,0.25,0.04,0.09,0.87,0.0,,
qwen25-7b-1m,qa,niah_single,ko,knorm,0.5,0.64,0.0,0.36,0.0,,
qwen25-7b-1m,qa,niah_single,ko,none,1.0,1.0,0.0,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.25,0.73,0.07,0.2,0.0,,
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.5,0.94,0.01,0.05,0.0,,
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.25,0.27,0.73,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,0.48,0.51,0.0,0.01,,
qwen25-7b-1m,qa,niah_single,pl,knorm,0.25,0.01,0.62,0.37,0.0,,
qwen25-7b-1m,qa,niah_single,pl,knorm,0.5,0.19,0.05,0.76,0.0,,
qwen25-7b-1m,qa,niah_single,pl,none,1.0,0.99,0.01,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.25,0.04,0.69,0.27,0.0,,
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.5,0.44,0.19,0.37,0.0,,
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.25,0.28,0.72,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.5,0.49,0.51,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,0.0,0.9,0.01,0.09,,
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,0.0,0.93,0.04,0.03,,
qwen25-7b-1m,qa,niah_single,sw,none,1.0,0.48,0.52,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,0.08,0.89,0.01,0.02,,
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.5,0.23,0.77,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.25,0.07,0.93,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.5,0.11,0.89,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,0.02,0.37,0.61,0.0,,
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,0.11,0.04,0.85,0.0,,
qwen25-7b-1m,qa,niah_single,vi,none,1.0,0.96,0.04,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,0.0,0.8,0.2,0.0,,
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,0.06,0.28,0.66,0.0,,
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,0.29,0.71,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,0.5,0.5,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,0.0,0.74,0.26,0.0,,
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,0.06,0.31,0.63,0.0,,
qwen25-7b-1m,qa,niah_single,zh,none,1.0,0.98,0.02,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,0.11,0.49,0.4,0.0,,
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,0.36,0.13,0.51,0.0,,
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.25,0.27,0.73,0.0,0.0,,
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.5,0.43,0.57,0.0,0.0,,
