model,arm,task,lang,press,kept,base_acc,base_floor,delta,delta_ci_low,delta_ci_high,gap_amp,ga_ci_low,ga_ci_high,ga_sig,ga_p,gap_amp_logodds,ga_lo_ci_low,ga_lo_ci_high,ga_lo_sig,ga_lo_p,ga_q,ga_lo_q,ga_sig_bh,ga_lo_sig_bh
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.5,0.9,False,-0.06,-0.12,0.0,-0.05,-0.12,0.02,False,0.196,-0.6499,-2.3029,0.9512,False,0.374,0.3193043478260869,0.5853913043478262,False,False
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.25,0.9,False,-0.08,-0.14,-0.02,-0.09,-0.17,-0.01,True,0.028,-1.7309,-4.119,-0.1537,True,0.031,0.059294117647058824,0.2232,False,False
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,0.9,False,0.0,-0.05,0.05,0.03,-0.03,0.09,False,0.422,1.1292,-0.0884,2.7214,False,0.08,0.5680000000000001,0.3008571428571429,False,False
qwen25-7b-1m,qa,niah_none,vi,knorm,0.25,0.9,False,-0.05,-0.11,0.01,-0.03,-0.09,0.0302,False,0.426,-0.0921,-1.3708,1.452,False,0.898,0.5680000000000001,0.9483428571428572,False,False
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.5,0.94,False,-0.03,-0.06,0.0,-0.03,-0.07,0.01,False,0.226,-0.6503,-2.1266,0.2897,False,0.208,0.339,0.39410526315789474,False,False
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.25,0.94,False,-0.05,-0.1,-0.01,-0.04,-0.1,0.02,False,0.204,-1.2563,-3.411,0.5209,False,0.15,0.3193043478260869,0.348,False,False
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.5,0.94,False,-0.03,-0.08,0.02,-0.02,-0.08,0.04,False,0.587,-0.3887,-2.3025,1.2862,False,0.627,0.6816774193548386,0.8681538461538462,False,False
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.25,0.94,False,-0.04,-0.1,0.01,-0.05,-0.1202,0.02,False,0.201,-1.2081,-3.6221,0.5588,False,0.171,0.3193043478260869,0.348,False,False
qwen25-7b-1m,qa,niah_none,zh,knorm,0.5,0.94,False,-0.05,-0.09,-0.01,-0.02,-0.07,0.03,False,0.586,-0.3887,-2.2378,1.5092,False,0.724,0.6816774193548386,0.9292499999999999,False,False
qwen25-7b-1m,qa,niah_none,zh,knorm,0.25,0.94,False,-0.06,-0.11,-0.02,-0.04,-0.1,0.01,False,0.175,-2.0182,-2.99,-0.2111,True,0.038,0.315,0.22799999999999998,False,False
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,0.98,False,0.61,0.51,0.7,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,0.98,False,0.91,0.85,0.96,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.5,0.98,False,0.53,0.42,0.63,0.0,0.0,0.0,False,1.0,0.0,-0.0,0.0,False,1.0,1.0,1.0,False,False
