model,lang,task,kept,sample_id,keep_overall,keep_value,keep_window,keep_question,keep_haystack,keep_overall_high,keep_value_high,keep_window_high,keep_question_high,keep_haystack_high,arm,frac_value_evicted,n_tokens,n_value_tokens,n_question_tokens,depth
llama31-8b,ko,niah_single,0.5,18,0.5,0.9609375006984919,0.5835478153312579,1.0,0.4997816445538774,0.5,0.03776041732635349,0.41231618414167315,1.0,0.5002291608834639,qa,0.015625,32702,3,94,0.4415
llama31-8b,ko,niah_single,0.5,19,0.49998465180397034,0.9583333340706304,0.5094039352843538,1.0,0.49996120925061405,0.49998465180397034,0.04036458395421505,0.49025848717428744,1.0,0.500008887029253,qa,0.01953125,32700,3,93,0.876
llama31-8b,ko,niah_single,0.5,20,0.49998465180397034,0.9609375010477379,0.5382401345996186,1.0,0.4998952941969037,0.49998465180397034,0.037760417559184134,0.4641755782067776,1.0,0.500068326946348,qa,0.0078125,32700,3,93,0.6302
llama31-8b,ko,niah_single,0.5,21,0.49998465180397034,0.9622395844198763,0.5055379763944075,1.0,0.4999711811542511,0.49998465180397034,0.03906250069849193,0.5062796684214845,1.0,0.49996937706600875,qa,0.015625,32700,3,93,0.5149
llama31-8b,ko,niah_single,0.5,22,0.5,0.9570312508149073,0.49659455800428987,1.0,0.5000081657199189,0.5,0.04166666744276881,0.5167267713695765,1.0,0.4999598900321871,qa,0.015625,32698,3,92,0.515
llama31-8b,ko,niah_single,0.5,23,0.5,0.9648437508149073,0.6208367600338534,1.0,0.4997176930774003,0.5,0.03515625058207661,0.3780838817183394,1.0,0.5002848303411156,qa,0.015625,32698,3,92,0.3404
llama31-8b,en,niah_single,0.5,0,0.49998486042022705,0.9518229179084301,0.8398437526775524,1.0,0.4995934013277292,0.49998486042022705,0.045572917559184134,0.16025904667912982,1.0,0.5003761666594073,qa,0.01953125,33095,3,66,0.0309
llama31-8b,en,niah_single,0.5,1,0.49998486042022705,0.9492187516298145,0.66028225235641,1.0,0.4998342706821859,0.49998486042022705,0.05208333465270698,0.33807962760329247,1.0,0.5001369636738673,qa,0.0078125,33095,3,66,0.2223
llama31-8b,en,niah_single,0.5,2,0.5,0.9257812515133992,0.5413240134948865,1.0,0.4999524093000218,0.5,0.07031250116415322,0.4596011533285491,1.0,0.5000465384218842,qa,0.03515625,33097,3,67,0.9346
llama31-8b,en,niah_single,0.5,3,0.49998486042022705,0.9570312511641532,0.8394775390625,1.0,0.4996556288097054,0.49998486042022705,0.04427083418704569,0.1600341796875,1.0,0.5003145427908748,qa,0.01171875,33095,3,66,0.1399
llama31-8b,en,niah_single,0.5,4,0.49998486042022705,0.9401041683740914,0.677120553329587,1.0,0.49979695305228233,0.49998486042022705,0.06119791802484542,0.3222098304395331,1.0,0.5001734349643812,qa,0.015625,33095,3,66,0.9597
llama31-8b,en,niah_single,0.5,5,0.49998486042022705,0.9414062512805685,0.7186414949828759,1.0,0.4997462664032355,0.49998486042022705,0.05989583453629166,0.28157552337506786,1.0,0.5002231721300632,qa,0.0234375,33095,3,66,0.8566
llama31-8b,en,niah_single,0.5,6,0.49998486042022705,0.9322916683740914,0.5328336131060496,1.0,0.4999480297556147,0.49998486042022705,0.06770833465270698,0.46748310804832727,1.0,0.5000213206512854,qa,0.0234375,33095,3,66,0.9346
