[18:34:32] ===== stage=aggregate ts=20260729_183432 ctx=32768 attn=sdpa seed_default=42 =====
[18:34:35] env: datasets==5.0.0 | kvpress==0.5.4 | torch==2.13.0 | transformers==5.2.0 -> /vol/logs/env_aggregate_20260729_183432.txt
[18:34:37] excluding 42 toy selftest rows from aggregation
[18:34:38] per-cell table (95% bootstrap CIs):
       model   arm lang  ctx_len         press  kept        task  seed   toy  acc  ci_low  ci_high   n  mean_wall_s
  llama31-8b    qa   ko    32768 streaming_llm  0.25 niah_single    42 False 0.21    0.14     0.29 100         5.32
  llama31-8b    qa   pl    32768 streaming_llm  0.25 niah_single    42 False 0.28    0.19     0.37 100         5.59
  llama31-8b    qa   sw    32768 streaming_llm  0.25 niah_single    42 False 0.27    0.18     0.37 100         6.41
  llama31-8b    qa   vi    32768 streaming_llm  0.25 niah_single    42 False 0.19    0.12     0.27 100         5.28
  llama31-8b    qa   zh    32768 streaming_llm  0.25 niah_single    42 False 0.27    0.19     0.36 100         4.98
  llama31-8b    qa   en    32768 streaming_llm  0.50 niah_single    42 False 0.46    0.36     0.56 100         5.23
  llama31-8b    qa   ja    32768 streaming_llm  0.50 niah_single    42 False 0.45    0.35     0.55 100         4.97
  llama31-8b    qa   ko    32768 streaming_llm  0.50 niah_single    42 False 0.38    0.30     0.48 100         5.38
  llama31-8b    qa   pl    32768 streaming_llm  0.50 niah_single    42 False 0.49    0.39     0.59 100         5.96
  llama31-8b    qa   sw    32768 streaming_llm  0.50 niah_single    42 False 0.43    0.32     0.52 100         6.63
  llama31-8b    qa   vi    32768 streaming_llm  0.50 niah_single    42 False 0.40    0.30     0.49 100         5.25
  llama31-8b    qa   zh    32768 streaming_llm  0.50 niah_single    42 False 0.43    0.33     0.53 100         5.17
qwen25-7b-1m joint   en    32768         knorm  0.25 niah_single    42 False 0.01    0.00     0.03 100         4.50
qwen25-7b-1m joint   ja    32768         knorm  0.25 niah_single    42 False 0.01    0.00     0.03 100         4.41
qwen25-7b-1m joint   ko    32768         knorm  0.25 niah_single    42 False 0.05    0.01     0.09 100         5.20
qwen25-7b-1m joint   pl    32768         knorm  0.25 niah_single    42 False 0.01    0.00     0.03 100         4.42
qwen25-7b-1m joint   sw    32768         knorm  0.25 niah_single    42 False 0.01    0.00     0.03 100         6.01
qwen25-7b-1m joint   vi    32768         knorm  0.25 niah_single    42 False 0.00    0.00     0.00 100         5.12
