model,arm,task,lang,press,kept,n,acc,ci_low,ci_high
qwen25-7b-1m,joint,niah_single,en,snapkv,0.25,100,0.98,0.95,1.0
qwen25-7b-1m,joint,niah_single,en,snapkv,0.5,100,0.98,0.95,1.0
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.25,100,0.27,0.19,0.36
qwen25-7b-1m,joint,niah_single,en,streaming_llm,0.5,100,0.45,0.35,0.55
qwen25-7b-1m,joint,niah_single,ja,knorm,0.25,100,0.01,0.0,0.03
qwen25-7b-1m,joint,niah_single,ja,knorm,0.5,100,0.08,0.03,0.14
qwen25-7b-1m,joint,niah_single,ja,none,1.0,100,0.9,0.84,0.96
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.25,100,0.92,0.86,0.97
qwen25-7b-1m,joint,niah_single,ja,snapkv,0.5,100,0.95,0.9,0.99
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.25,100,0.28,0.2,0.37
qwen25-7b-1m,joint,niah_single,ja,streaming_llm,0.5,100,0.45,0.35,0.55
qwen25-7b-1m,joint,niah_single,ko,knorm,0.25,100,0.05,0.01,0.1
qwen25-7b-1m,joint,niah_single,ko,knorm,0.5,100,0.63,0.54,0.72
qwen25-7b-1m,joint,niah_single,ko,none,1.0,100,1.0,1.0,1.0
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.25,100,1.0,1.0,1.0
qwen25-7b-1m,joint,niah_single,ko,snapkv,0.5,100,0.99,0.97,1.0
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.25,100,0.28,0.2,0.37
qwen25-7b-1m,joint,niah_single,ko,streaming_llm,0.5,100,0.49,0.39,0.59
qwen25-7b-1m,joint,niah_single,pl,knorm,0.25,100,0.01,0.0,0.03
qwen25-7b-1m,joint,niah_single,pl,knorm,0.5,100,0.07,0.03,0.13
qwen25-7b-1m,joint,niah_single,pl,none,1.0,100,1.0,1.0,1.0
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.25,100,1.0,1.0,1.0
qwen25-7b-1m,joint,niah_single,pl,snapkv,0.5,100,1.0,1.0,1.0
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.25,100,0.28,0.2,0.37
qwen25-7b-1m,joint,niah_single,pl,streaming_llm,0.5,100,0.49,0.39,0.59
qwen25-7b-1m,joint,niah_single,sw,knorm,0.25,100,0.01,0.0,0.03
qwen25-7b-1m,joint,niah_single,sw,knorm,0.5,100,0.08,0.03,0.14
qwen25-7b-1m,joint,niah_single,sw,none,1.0,100,0.56,0.46,0.66
