model,arm,task,lang,press,kept,mode,n,rate
llama31-8b,qa,niah_none,en,streaming_llm,0.25,false_presence_distractor,18,0.18
llama31-8b,qa,niah_none,en,streaming_llm,0.25,false_presence_hallucinated,7,0.07
llama31-8b,qa,niah_none,en,streaming_llm,0.5,correct,66,0.66
llama31-8b,qa,niah_none,en,streaming_llm,0.5,false_presence_distractor,27,0.27
llama31-8b,qa,niah_none,en,streaming_llm,0.5,false_presence_hallucinated,7,0.07
llama31-8b,qa,niah_none,ja,knorm,0.25,correct,42,0.42
llama31-8b,qa,niah_none,ja,knorm,0.25,false_presence_distractor,18,0.18
llama31-8b,qa,niah_none,ja,knorm,0.25,false_presence_hallucinated,39,0.39
llama31-8b,qa,niah_none,ja,knorm,0.25,other,1,0.01
llama31-8b,qa,niah_none,ja,knorm,0.5,correct,33,0.33
llama31-8b,qa,niah_none,ja,knorm,0.5,false_presence_distractor,50,0.5
llama31-8b,qa,niah_none,ja,knorm,0.5,false_presence_hallucinated,17,0.17
llama31-8b,qa,niah_none,ja,none,1.0,correct,51,0.51
llama31-8b,qa,niah_none,ja,none,1.0,false_presence_distractor,49,0.49
llama31-8b,qa,niah_none,ja,snapkv,0.25,correct,50,0.5
llama31-8b,qa,niah_none,ja,snapkv,0.25,false_presence_distractor,7,0.07
llama31-8b,qa,niah_none,ja,snapkv,0.25,false_presence_hallucinated,42,0.42
llama31-8b,qa,niah_none,ja,snapkv,0.25,other,1,0.01
llama31-8b,qa,niah_none,ja,snapkv,0.5,correct,46,0.46
llama31-8b,qa,niah_none,ja,snapkv,0.5,false_presence_distractor,38,0.38
llama31-8b,qa,niah_none,ja,snapkv,0.5,false_presence_hallucinated,15,0.15
llama31-8b,qa,niah_none,ja,snapkv,0.5,other,1,0.01
llama31-8b,qa,niah_none,ja,streaming_llm,0.25,correct,87,0.87
llama31-8b,qa,niah_none,ja,streaming_llm,0.25,false_presence_distractor,12,0.12
llama31-8b,qa,niah_none,ja,streaming_llm,0.25,false_presence_hallucinated,1,0.01
llama31-8b,qa,niah_none,ja,streaming_llm,0.5,correct,69,0.69
llama31-8b,qa,niah_none,ja,streaming_llm,0.5,false_presence_distractor,31,0.31
llama31-8b,qa,niah_none,ko,knorm,0.25,correct,34,0.34
llama31-8b,qa,niah_none,ko,knorm,0.25,false_presence_distractor,63,0.63
llama31-8b,qa,niah_none,ko,knorm,0.25,false_presence_hallucinated,2,0.02
llama31-8b,qa,niah_none,ko,knorm,0.25,other,1,0.01
llama31-8b,qa,niah_none,ko,knorm,0.5,correct,71,0.71
llama31-8b,qa,niah_none,ko,knorm,0.5,false_presence_distractor,27,0.27
llama31-8b,qa,niah_none,ko,knorm,0.5,other,2,0.02
llama31-8b,qa,niah_none,ko,none,1.0,correct,83,0.83
llama31-8b,qa,niah_none,ko,none,1.0,false_presence_distractor,16,0.16
llama31-8b,qa,niah_none,ko,none,1.0,other,1,0.01
llama31-8b,qa,niah_none,ko,snapkv,0.25,correct,32,0.32
llama31-8b,qa,niah_none,ko,snapkv,0.25,false_presence_distractor,60,0.6
llama31-8b,qa,niah_none,ko,snapkv,0.25,false_presence_hallucinated,3,0.03
llama31-8b,qa,niah_none,ko,snapkv,0.25,other,5,0.05
llama31-8b,qa,niah_none,ko,snapkv,0.5,correct,65,0.65
llama31-8b,qa,niah_none,ko,snapkv,0.5,false_presence_distractor,34,0.34
llama31-8b,qa,niah_none,ko,snapkv,0.5,other,1,0.01
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,correct,38,0.38
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,false_presence_distractor,52,0.52
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,false_presence_hallucinated,8,0.08
llama31-8b,qa,niah_none,ko,streaming_llm,0.25,other,2,0.02
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,correct,26,0.26
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,false_presence_distractor,72,0.72
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,false_presence_hallucinated,1,0.01
llama31-8b,qa,niah_none,ko,streaming_llm,0.5,other,1,0.01
llama31-8b,qa,niah_none,pl,knorm,0.25,correct,91,0.91
llama31-8b,qa,niah_none,pl,knorm,0.25,false_presence_distractor,1,0.01
llama31-8b,qa,niah_none,pl,knorm,0.25,false_presence_hallucinated,8,0.08
llama31-8b,qa,niah_none,pl,knorm,0.5,correct,94,0.94
llama31-8b,qa,niah_none,pl,knorm,0.5,false_presence_distractor,3,0.03
llama31-8b,qa,niah_none,pl,knorm,0.5,false_presence_hallucinated,3,0.03
llama31-8b,qa,niah_none,pl,none,1.0,correct,93,0.93
llama31-8b,qa,niah_none,pl,none,1.0,false_presence_distractor,7,0.07
llama31-8b,qa,niah_none,pl,snapkv,0.25,correct,95,0.95
llama31-8b,qa,niah_none,pl,snapkv,0.25,false_presence_distractor,2,0.02
llama31-8b,qa,niah_none,pl,snapkv,0.25,false_presence_hallucinated,3,0.03
llama31-8b,qa,niah_none,pl,snapkv,0.5,correct,97,0.97
llama31-8b,qa,niah_none,pl,snapkv,0.5,false_presence_distractor,2,0.02
llama31-8b,qa,niah_none,pl,snapkv,0.5,false_presence_hallucinated,1,0.01
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,correct,39,0.39
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,false_presence_distractor,23,0.23
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,false_presence_hallucinated,16,0.16
llama31-8b,qa,niah_none,pl,streaming_llm,0.25,other,22,0.22
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,correct,69,0.69
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,false_presence_distractor,22,0.22
llama31-8b,qa,niah_none,pl,streaming_llm,0.5,false_presence_hallucinated,9,0.09
llama31-8b,qa,niah_none,sw,knorm,0.25,false_presence_distractor,21,0.21
llama31-8b,qa,niah_none,sw,knorm,0.25,false_presence_hallucinated,72,0.72
llama31-8b,qa,niah_none,sw,knorm,0.25,other,7,0.07
llama31-8b,qa,niah_none,sw,knorm,0.5,correct,5,0.05
llama31-8b,qa,niah_none,sw,knorm,0.5,false_presence_distractor,19,0.19
llama31-8b,qa,niah_none,sw,knorm,0.5,false_presence_hallucinated,18,0.18
llama31-8b,qa,niah_none,sw,knorm,0.5,other,58,0.58
llama31-8b,qa,niah_none,sw,none,1.0,correct,21,0.21
llama31-8b,qa,niah_none,sw,none,1.0,false_presence_distractor,77,0.77
llama31-8b,qa,niah_none,sw,none,1.0,false_presence_hallucinated,1,0.01
llama31-8b,qa,niah_none,sw,none,1.0,other,1,0.01
llama31-8b,qa,niah_none,sw,snapkv,0.25,correct,7,0.07
llama31-8b,qa,niah_none,sw,snapkv,0.25,false_presence_distractor,92,0.92
llama31-8b,qa,niah_none,sw,snapkv,0.25,false_presence_hallucinated,1,0.01
llama31-8b,qa,niah_none,sw,snapkv,0.5,correct,13,0.13
llama31-8b,qa,niah_none,sw,snapkv,0.5,false_presence_distractor,86,0.86
llama31-8b,qa,niah_none,sw,snapkv,0.5,false_presence_hallucinated,1,0.01
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,correct,6,0.06
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,false_presence_distractor,56,0.56
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,false_presence_hallucinated,37,0.37
llama31-8b,qa,niah_none,sw,streaming_llm,0.25,other,1,0.01
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,correct,2,0.02
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,false_presence_distractor,91,0.91
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,false_presence_hallucinated,5,0.05
llama31-8b,qa,niah_none,sw,streaming_llm,0.5,other,2,0.02
llama31-8b,qa,niah_none,vi,knorm,0.25,correct,17,0.17
llama31-8b,qa,niah_none,vi,knorm,0.25,false_presence_distractor,21,0.21
llama31-8b,qa,niah_none,vi,knorm,0.25,false_presence_hallucinated,62,0.62
llama31-8b,qa,niah_none,vi,knorm,0.5,correct,46,0.46
llama31-8b,qa,niah_none,vi,knorm,0.5,false_presence_distractor,43,0.43
llama31-8b,qa,niah_none,vi,knorm,0.5,false_presence_hallucinated,11,0.11
llama31-8b,qa,niah_none,vi,none,1.0,correct,63,0.63
llama31-8b,qa,niah_none,vi,none,1.0,false_presence_distractor,37,0.37
llama31-8b,qa,niah_none,vi,snapkv,0.25,correct,76,0.76
llama31-8b,qa,niah_none,vi,snapkv,0.25,false_presence_distractor,3,0.03
llama31-8b,qa,niah_none,vi,snapkv,0.25,false_presence_hallucinated,21,0.21
llama31-8b,qa,niah_none,vi,snapkv,0.5,correct,59,0.59
llama31-8b,qa,niah_none,vi,snapkv,0.5,false_presence_distractor,5,0.05
llama31-8b,qa,niah_none,vi,snapkv,0.5,false_presence_hallucinated,34,0.34
llama31-8b,qa,niah_none,vi,snapkv,0.5,other,2,0.02
llama31-8b,qa,niah_none,vi,streaming_llm,0.25,correct,68,0.68
llama31-8b,qa,niah_none,vi,streaming_llm,0.25,false_presence_distractor,23,0.23
llama31-8b,qa,niah_none,vi,streaming_llm,0.25,false_presence_hallucinated,9,0.09
llama31-8b,qa,niah_none,vi,streaming_llm,0.5,correct,74,0.74
llama31-8b,qa,niah_none,vi,streaming_llm,0.5,false_presence_distractor,24,0.24
llama31-8b,qa,niah_none,vi,streaming_llm,0.5,false_presence_hallucinated,2,0.02
llama31-8b,qa,niah_none,zh,knorm,0.25,correct,38,0.38
llama31-8b,qa,niah_none,zh,knorm,0.25,false_presence_distractor,10,0.1
