model,arm,task,lang,press,kept,mode,n,rate
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.25,false_presence_hallucinated,1,0.01
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.5,correct,97,0.97
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.5,false_presence_hallucinated,3,0.03
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.25,correct,98,0.98
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.25,false_presence_distractor,2,0.02
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.5,correct,97,0.97
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.5,false_presence_distractor,3,0.03
qwen25-7b-1m,qa,niah_single,en,knorm,0.25,correct,2,0.02
qwen25-7b-1m,qa,niah_single,en,knorm,0.25,false_absence,39,0.39
qwen25-7b-1m,qa,niah_single,en,knorm,0.25,wrong_number,59,0.59
qwen25-7b-1m,qa,niah_single,en,knorm,0.5,correct,4,0.04
qwen25-7b-1m,qa,niah_single,en,knorm,0.5,false_absence,27,0.27
qwen25-7b-1m,qa,niah_single,en,knorm,0.5,wrong_number,69,0.69
qwen25-7b-1m,qa,niah_single,en,none,1.0,correct,98,0.98
qwen25-7b-1m,qa,niah_single,en,none,1.0,false_absence,2,0.02
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,correct,7,0.07
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,false_absence,17,0.17
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,other,2,0.02
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,wrong_number,74,0.74
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,correct,37,0.37
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,false_absence,3,0.03
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,wrong_number,60,0.6
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.25,correct,27,0.27
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.25,false_absence,71,0.71
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.25,wrong_number,2,0.02
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.5,correct,45,0.45
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.5,false_absence,55,0.55
qwen25-7b-1m,qa,niah_single,ja,knorm,0.25,correct,3,0.03
qwen25-7b-1m,qa,niah_single,ja,knorm,0.25,false_absence,62,0.62
qwen25-7b-1m,qa,niah_single,ja,knorm,0.25,wrong_number,35,0.35
qwen25-7b-1m,qa,niah_single,ja,knorm,0.5,correct,7,0.07
qwen25-7b-1m,qa,niah_single,ja,knorm,0.5,false_absence,9,0.09
qwen25-7b-1m,qa,niah_single,ja,knorm,0.5,wrong_number,84,0.84
qwen25-7b-1m,qa,niah_single,ja,none,1.0,correct,96,0.96
qwen25-7b-1m,qa,niah_single,ja,none,1.0,false_absence,4,0.04
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,correct,6,0.06
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,false_absence,36,0.36
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,other,3,0.03
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,wrong_number,55,0.55
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,correct,16,0.16
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,false_absence,15,0.15
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,other,1,0.01
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.5,wrong_number,68,0.68
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.25,correct,28,0.28
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.25,false_absence,67,0.67
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.25,other,5,0.05
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.5,correct,46,0.46
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.5,false_absence,33,0.33
qwen25-7b-1m,qa,niah_single,ja,streaming_llm,0.5,other,21,0.21
qwen25-7b-1m,qa,niah_single,ko,knorm,0.25,correct,4,0.04
qwen25-7b-1m,qa,niah_single,ko,knorm,0.25,false_absence,9,0.09
qwen25-7b-1m,qa,niah_single,ko,knorm,0.25,wrong_number,87,0.87
qwen25-7b-1m,qa,niah_single,ko,knorm,0.5,correct,64,0.64
qwen25-7b-1m,qa,niah_single,ko,knorm,0.5,wrong_number,36,0.36
qwen25-7b-1m,qa,niah_single,ko,none,1.0,correct,100,1.0
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.25,correct,73,0.73
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.25,false_absence,7,0.07
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.25,wrong_number,20,0.2
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.5,correct,94,0.94
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.5,false_absence,1,0.01
qwen25-7b-1m,qa,niah_single,ko,snapkv,0.5,wrong_number,5,0.05
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.25,correct,27,0.27
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.25,false_absence,73,0.73
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,correct,48,0.48
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,false_absence,51,0.51
qwen25-7b-1m,qa,niah_single,ko,streaming_llm,0.5,other,1,0.01
qwen25-7b-1m,qa,niah_single,pl,knorm,0.25,correct,1,0.01
qwen25-7b-1m,qa,niah_single,pl,knorm,0.25,false_absence,62,0.62
qwen25-7b-1m,qa,niah_single,pl,knorm,0.25,wrong_number,37,0.37
qwen25-7b-1m,qa,niah_single,pl,knorm,0.5,correct,19,0.19
qwen25-7b-1m,qa,niah_single,pl,knorm,0.5,false_absence,5,0.05
qwen25-7b-1m,qa,niah_single,pl,knorm,0.5,wrong_number,76,0.76
qwen25-7b-1m,qa,niah_single,pl,none,1.0,correct,99,0.99
qwen25-7b-1m,qa,niah_single,pl,none,1.0,false_absence,1,0.01
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.25,correct,4,0.04
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.25,false_absence,69,0.69
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.25,wrong_number,27,0.27
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.5,correct,44,0.44
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.5,false_absence,19,0.19
qwen25-7b-1m,qa,niah_single,pl,snapkv,0.5,wrong_number,37,0.37
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.25,correct,28,0.28
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.25,false_absence,72,0.72
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.5,correct,49,0.49
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.5,false_absence,51,0.51
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,false_absence,90,0.9
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,other,9,0.09
qwen25-7b-1m,qa,niah_single,sw,knorm,0.25,wrong_number,1,0.01
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,false_absence,93,0.93
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,other,3,0.03
qwen25-7b-1m,qa,niah_single,sw,knorm,0.5,wrong_number,4,0.04
qwen25-7b-1m,qa,niah_single,sw,none,1.0,correct,48,0.48
qwen25-7b-1m,qa,niah_single,sw,none,1.0,false_absence,52,0.52
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,correct,8,0.08
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,false_absence,89,0.89
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,other,2,0.02
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.25,wrong_number,1,0.01
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.5,correct,23,0.23
qwen25-7b-1m,qa,niah_single,sw,snapkv,0.5,false_absence,77,0.77
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.25,correct,7,0.07
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.25,false_absence,93,0.93
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.5,correct,11,0.11
qwen25-7b-1m,qa,niah_single,sw,streaming_llm,0.5,false_absence,89,0.89
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,correct,2,0.02
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,false_absence,37,0.37
qwen25-7b-1m,qa,niah_single,vi,knorm,0.25,wrong_number,61,0.61
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,correct,11,0.11
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,false_absence,4,0.04
qwen25-7b-1m,qa,niah_single,vi,knorm,0.5,wrong_number,85,0.85
qwen25-7b-1m,qa,niah_single,vi,none,1.0,correct,96,0.96
qwen25-7b-1m,qa,niah_single,vi,none,1.0,false_absence,4,0.04
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,false_absence,80,0.8
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.25,wrong_number,20,0.2
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,correct,6,0.06
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,false_absence,28,0.28
qwen25-7b-1m,qa,niah_single,vi,snapkv,0.5,wrong_number,66,0.66
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,correct,29,0.29
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.25,false_absence,71,0.71
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,correct,50,0.5
qwen25-7b-1m,qa,niah_single,vi,streaming_llm,0.5,false_absence,50,0.5
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,false_absence,74,0.74
qwen25-7b-1m,qa,niah_single,zh,knorm,0.25,wrong_number,26,0.26
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,correct,6,0.06
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,false_absence,31,0.31
qwen25-7b-1m,qa,niah_single,zh,knorm,0.5,wrong_number,63,0.63
qwen25-7b-1m,qa,niah_single,zh,none,1.0,correct,98,0.98
qwen25-7b-1m,qa,niah_single,zh,none,1.0,false_absence,2,0.02
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,correct,11,0.11
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,false_absence,49,0.49
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.25,wrong_number,40,0.4
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,correct,36,0.36
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,false_absence,13,0.13
qwen25-7b-1m,qa,niah_single,zh,snapkv,0.5,wrong_number,51,0.51
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.25,correct,27,0.27
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.25,false_absence,73,0.73
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.5,correct,43,0.43
qwen25-7b-1m,qa,niah_single,zh,streaming_llm,0.5,false_absence,57,0.57
