model,arm,task,lang,press,kept,n,acc_official,acc_recomputed,acc_robust,delta_robust
qwen25-7b-1m,qa,niah_none,ko,knorm,0.25,100,0.76,0.76,0.76,0.0
qwen25-7b-1m,qa,niah_none,ja,streaming_llm,0.25,100,0.78,0.78,0.78,0.0
qwen25-7b-1m,qa,niah_none,zh,knorm,0.5,100,0.99,0.99,0.99,0.0
qwen25-7b-1m,qa,niah_none,zh,knorm,0.25,100,1.0,1.0,1.0,0.0
qwen25-7b-1m,qa,niah_none,vi,streaming_llm,0.5,100,0.96,0.96,0.96,0.0
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.5,100,0.91,0.91,0.91,0.0
qwen25-7b-1m,qa,niah_none,vi,snapkv,0.25,100,0.98,0.98,0.98,0.0
qwen25-7b-1m,qa,niah_none,vi,none,1.0,100,0.9,0.9,0.9,0.0
qwen25-7b-1m,qa,niah_none,vi,knorm,0.5,100,0.9,0.9,0.9,0.0
qwen25-7b-1m,qa,niah_none,vi,knorm,0.25,100,0.95,0.95,0.95,0.0
qwen25-7b-1m,qa,niah_none,sw,knorm,0.5,100,0.83,0.83,0.83,0.0
qwen25-7b-1m,qa,niah_none,sw,knorm,0.25,100,0.9,0.9,0.9,0.0
qwen25-7b-1m,qa,niah_single,ja,snapkv,0.25,100,0.06,0.06,0.06,0.0
qwen25-7b-1m,qa,niah_single,ja,knorm,0.5,100,0.07,0.07,0.07,0.0
qwen25-7b-1m,qa,niah_single,ja,knorm,0.25,100,0.03,0.03,0.03,0.0
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.5,100,0.45,0.45,0.45,0.0
qwen25-7b-1m,qa,niah_single,en,streaming_llm,0.25,100,0.27,0.27,0.27,0.0
qwen25-7b-1m,qa,niah_single,en,snapkv,0.5,100,0.37,0.37,0.37,0.0
qwen25-7b-1m,qa,niah_single,en,snapkv,0.25,100,0.07,0.07,0.07,0.0
qwen25-7b-1m,qa,niah_single,en,none,1.0,100,0.98,0.98,0.98,0.0
qwen25-7b-1m,qa,niah_single,en,knorm,0.5,100,0.04,0.04,0.04,0.0
qwen25-7b-1m,qa,niah_single,en,knorm,0.25,100,0.02,0.02,0.02,0.0
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.5,100,0.97,0.97,0.97,0.0
qwen25-7b-1m,qa,niah_none,zh,streaming_llm,0.25,100,0.98,0.98,0.98,0.0
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.5,100,0.97,0.97,0.97,0.0
qwen25-7b-1m,qa,niah_none,zh,snapkv,0.25,100,0.99,0.99,0.99,0.0
qwen25-7b-1m,qa,niah_none,zh,none,1.0,100,0.94,0.94,0.94,0.0
qwen25-7b-1m,qa,niah_single,pl,streaming_llm,0.25,100,0.28,0.28,0.28,0.0
