model,arm,task,press,kept,outcome,fertility_col,k_langs,rho,exact_p,leave_one_out,q_bh,sig_bh
qwen25-7b-1m,qa,niah_none,snapkv,0.5,accuracy,tokens_per_byte_eval,7,0.1786,0.7131,"{""en"": 0.2, ""ja"": -0.086, ""ko"": 0.429, ""pl"": -0.086, ""sw"": 0.429, ""vi"": 0.2, ""zh"": 0.2}",0.9168428571428571,False
qwen25-7b-1m,qa,niah_none,snapkv,0.5,retention,tokens_per_byte_eval,7,0.2703,0.5508,"{""en"": 0.257, ""ja"": 0.464, ""ko"": 0.087, ""pl"": 0.6, ""sw"": -0.174, ""vi"": 0.348, ""zh"": 0.261}",0.8428499999999999,False
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,accuracy,tokens_per_byte_eval,7,0.5637,0.2032,"{""en"": 0.618, ""ja"": 0.53, ""ko"": 0.883, ""pl"": 0.319, ""sw"": 0.319, ""vi"": 0.638, ""zh"": 0.58}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_none,streaming_llm,0.25,retention,tokens_per_byte_eval,7,0.3929,0.3956,"{""en"": 0.371, ""ja"": 0.429, ""ko"": 0.257, ""pl"": 0.714, ""sw"": 0.029, ""vi"": 0.543, ""zh"": 0.371}",0.8377411764705882,False
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,accuracy,tokens_per_byte_eval,7,0.1622,0.7325,"{""en"": 0.2, ""ja"": -0.116, ""ko"": 0.406, ""pl"": -0.116, ""sw"": 0.406, ""vi"": 0.174, ""zh"": 0.2}",0.9252631578947369,False
qwen25-7b-1m,qa,niah_none,streaming_llm,0.5,retention,tokens_per_byte_eval,7,0.5357,0.2357,"{""en"": 0.6, ""ja"": 0.257, ""ko"": 0.486, ""pl"": 0.829, ""sw"": 0.257, ""vi"": 0.657, ""zh"": 0.6}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_single,knorm,0.25,accuracy,tokens_per_byte_eval,7,-0.5092,0.2492,"{""en"": -0.464, ""ja"": -0.441, ""ko"": -0.883, ""pl"": -0.353, ""sw"": -0.29, ""vi"": -0.464, ""zh"": -0.638}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_single,knorm,0.25,retention,tokens_per_byte_eval,7,-0.5225,0.2405,"{""en"": -0.464, ""ja"": -0.464, ""ko"": -0.899, ""pl"": -0.377, ""sw"": -0.314, ""vi"": -0.464, ""zh"": -0.657}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_single,knorm,0.5,accuracy,tokens_per_byte_eval,7,-0.0714,0.9063,"{""en"": -0.086, ""ja"": -0.086, ""ko"": -0.314, ""pl"": -0.314, ""sw"": 0.486, ""vi"": -0.086, ""zh"": -0.086}",0.945704347826087,False
qwen25-7b-1m,qa,niah_single,knorm,0.5,retention,tokens_per_byte_eval,7,-0.0714,0.9063,"{""en"": -0.086, ""ja"": -0.086, ""ko"": -0.314, ""pl"": -0.314, ""sw"": 0.486, ""vi"": -0.086, ""zh"": -0.086}",0.945704347826087,False
qwen25-7b-1m,qa,niah_single,snapkv,0.25,accuracy,tokens_per_byte_eval,7,0.3929,0.3956,"{""en"": 0.257, ""ja"": 0.371, ""ko"": 0.429, ""pl"": 0.771, ""sw"": 0.314, ""vi"": 0.143, ""zh"": 0.429}",0.8377411764705882,False
qwen25-7b-1m,qa,niah_single,snapkv,0.25,retention,tokens_per_byte_eval,7,0.5,0.2667,"{""en"": 0.429, ""ja"": 0.543, ""ko"": 0.543, ""pl"": 0.886, ""sw"": 0.314, ""vi"": 0.314, ""zh"": 0.429}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_single,snapkv,0.5,accuracy,tokens_per_byte_eval,7,0.5357,0.2357,"{""en"": 0.543, ""ja"": 0.314, ""ko"": 0.543, ""pl"": 0.543, ""sw"": 0.829, ""vi"": 0.314, ""zh"": 0.543}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_single,snapkv,0.5,retention,tokens_per_byte_eval,7,0.8214,0.0341,"{""en"": 0.771, ""ja"": 0.771, ""ko"": 0.886, ""pl"": 0.829, ""sw"": 0.829, ""vi"": 0.771, ""zh"": 0.771}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,accuracy,tokens_per_byte_eval,7,-0.6175,0.1524,"{""en"": -0.647, ""ja"": -0.577, ""ko"": -0.647, ""pl"": -0.88, ""sw"": -0.37, ""vi"": -0.463, ""zh"": -0.647}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,retention,tokens_per_byte_eval,7,-0.7388,0.0667,"{""en"": -0.771, ""ja"": -0.638, ""ko"": -0.754, ""pl"": -0.928, ""sw"": -0.58, ""vi"": -0.638, ""zh"": -0.771}",0.7725333333333333,False
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,accuracy,tokens_per_byte_eval,7,-0.3214,0.4976,"{""en"": -0.314, ""ja"": -0.486, ""ko"": -0.543, ""pl"": -0.543, ""sw"": 0.086, ""vi"": -0.086, ""zh"": -0.314}",0.8428499999999999,False
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,retention,tokens_per_byte_eval,7,-0.3214,0.4976,"{""en"": -0.314, ""ja"": -0.486, ""ko"": -0.543, ""pl"": -0.543, ""sw"": 0.086, ""vi"": -0.086, ""zh"": -0.314}",0.8428499999999999,False
