model,arm,task,press,kept,lang,bin,acc,n
llama31-8b,joint,niah_single,streaming_llm,0.5,ja,.5-.75,1.0,18
llama31-8b,joint,niah_single,streaming_llm,0.5,ja,.75-1,0.9286,28
llama31-8b,joint,niah_single,streaming_llm,0.5,ko,0-.25,0.0,27
llama31-8b,joint,niah_single,streaming_llm,0.5,ko,.25-.5,0.0,24
llama31-8b,joint,niah_single,streaming_llm,0.5,ko,.5-.75,0.8095,21
llama31-8b,joint,niah_single,streaming_llm,0.5,ko,.75-1,0.5357,28
llama31-8b,joint,niah_single,streaming_llm,0.5,pl,0-.25,0.0,32
llama31-8b,joint,niah_single,streaming_llm,0.5,pl,.25-.5,0.1364,22
llama31-8b,joint,niah_single,streaming_llm,0.5,pl,.5-.75,1.0,18
llama31-8b,joint,niah_single,streaming_llm,0.5,pl,.75-1,0.4286,28
llama31-8b,joint,niah_single,streaming_llm,0.5,sw,0-.25,0.0,32
llama31-8b,joint,niah_single,streaming_llm,0.5,sw,.25-.5,0.0,24
llama31-8b,joint,niah_single,streaming_llm,0.5,sw,.5-.75,0.9375,16
llama31-8b,joint,niah_single,streaming_llm,0.5,sw,.75-1,1.0,28
llama31-8b,joint,niah_single,streaming_llm,0.5,vi,0-.25,0.0,26
llama31-8b,joint,niah_single,streaming_llm,0.5,vi,.25-.5,0.0,22
llama31-8b,joint,niah_single,streaming_llm,0.5,vi,.5-.75,1.0,21
llama31-8b,joint,niah_single,streaming_llm,0.5,vi,.75-1,0.7419,31
llama31-8b,joint,niah_single,streaming_llm,0.5,zh,0-.25,0.0,32
llama31-8b,joint,niah_single,streaming_llm,0.5,zh,.25-.5,0.0,24
llama31-8b,joint,niah_single,streaming_llm,0.5,zh,.5-.75,1.0,16
llama31-8b,joint,niah_single,streaming_llm,0.5,zh,.75-1,0.9643,28
llama31-8b,qa,niah_single,knorm,0.25,en,0-.25,0.3077,26
llama31-8b,qa,niah_single,knorm,0.25,en,.25-.5,0.1071,28
llama31-8b,qa,niah_single,knorm,0.25,en,.5-.75,0.2222,18
llama31-8b,qa,niah_single,knorm,0.25,en,.75-1,0.0714,28
llama31-8b,qa,niah_single,knorm,0.25,ja,0-.25,0.4074,27
llama31-8b,qa,niah_single,knorm,0.25,ja,.25-.5,0.1852,27
llama31-8b,qa,niah_single,knorm,0.25,ja,.5-.75,0.0,18
llama31-8b,qa,niah_single,knorm,0.25,ja,.75-1,0.0357,28
llama31-8b,qa,niah_single,knorm,0.25,ko,0-.25,0.9259,27
llama31-8b,qa,niah_single,knorm,0.25,ko,.25-.5,0.9583,24
llama31-8b,qa,niah_single,knorm,0.25,ko,.5-.75,0.8095,21
llama31-8b,qa,niah_single,knorm,0.25,ko,.75-1,0.6071,28
llama31-8b,qa,niah_single,knorm,0.25,pl,0-.25,0.0625,32
llama31-8b,qa,niah_single,knorm,0.25,pl,.25-.5,0.0455,22
llama31-8b,qa,niah_single,knorm,0.25,pl,.5-.75,0.0,18
llama31-8b,qa,niah_single,knorm,0.25,pl,.75-1,0.0357,28
llama31-8b,qa,niah_single,knorm,0.25,sw,0-.25,0.125,32
llama31-8b,qa,niah_single,knorm,0.25,sw,.25-.5,0.0833,24
llama31-8b,qa,niah_single,knorm,0.25,sw,.5-.75,0.0,16
llama31-8b,qa,niah_single,knorm,0.25,sw,.75-1,0.0,28
llama31-8b,qa,niah_single,knorm,0.25,vi,0-.25,0.3846,26
llama31-8b,qa,niah_single,knorm,0.25,vi,.25-.5,0.1364,22
llama31-8b,qa,niah_single,knorm,0.25,vi,.5-.75,0.0,21
llama31-8b,qa,niah_single,knorm,0.25,vi,.75-1,0.0323,31
llama31-8b,qa,niah_single,knorm,0.25,zh,0-.25,0.125,32
llama31-8b,qa,niah_single,knorm,0.25,zh,.25-.5,0.0417,24
llama31-8b,qa,niah_single,knorm,0.25,zh,.5-.75,0.0,16
llama31-8b,qa,niah_single,knorm,0.25,zh,.75-1,0.0,28
llama31-8b,qa,niah_single,knorm,0.5,en,0-.25,0.7308,26
llama31-8b,qa,niah_single,knorm,0.5,en,.25-.5,0.7143,28
llama31-8b,qa,niah_single,knorm,0.5,en,.5-.75,0.7778,18
llama31-8b,qa,niah_single,knorm,0.5,en,.75-1,0.6786,28
llama31-8b,qa,niah_single,knorm,0.5,ja,0-.25,0.8889,27
llama31-8b,qa,niah_single,knorm,0.5,ja,.25-.5,0.5185,27
llama31-8b,qa,niah_single,knorm,0.5,ja,.5-.75,0.1111,18
llama31-8b,qa,niah_single,knorm,0.5,ja,.75-1,0.3214,28
llama31-8b,qa,niah_single,knorm,0.5,ko,0-.25,0.963,27
llama31-8b,qa,niah_single,knorm,0.5,ko,.25-.5,1.0,24
llama31-8b,qa,niah_single,knorm,0.5,ko,.5-.75,0.9048,21
llama31-8b,qa,niah_single,knorm,0.5,ko,.75-1,0.6429,28
llama31-8b,qa,niah_single,knorm,0.5,pl,0-.25,0.4062,32
llama31-8b,qa,niah_single,knorm,0.5,pl,.25-.5,0.2727,22
llama31-8b,qa,niah_single,knorm,0.5,pl,.5-.75,0.3333,18
llama31-8b,qa,niah_single,knorm,0.5,pl,.75-1,0.1786,28
llama31-8b,qa,niah_single,knorm,0.5,sw,0-.25,0.8125,32
llama31-8b,qa,niah_single,knorm,0.5,sw,.25-.5,0.6667,24
llama31-8b,qa,niah_single,knorm,0.5,sw,.5-.75,0.4375,16
llama31-8b,qa,niah_single,knorm,0.5,sw,.75-1,0.6786,28
llama31-8b,qa,niah_single,knorm,0.5,vi,0-.25,1.0,26
llama31-8b,qa,niah_single,knorm,0.5,vi,.25-.5,0.6364,22
llama31-8b,qa,niah_single,knorm,0.5,vi,.5-.75,0.7143,21
llama31-8b,qa,niah_single,knorm,0.5,vi,.75-1,0.7742,31
llama31-8b,qa,niah_single,knorm,0.5,zh,0-.25,0.625,32
