model,arm,task,press,kept,lang,bin,acc,n
qwen25-7b-1m,qa,niah_single,snapkv,0.25,pl,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,snapkv,0.25,pl,.25-.5,0.0,22
qwen25-7b-1m,qa,niah_single,snapkv,0.25,pl,.5-.75,0.0556,18
qwen25-7b-1m,qa,niah_single,snapkv,0.25,pl,.75-1,0.1071,28
qwen25-7b-1m,qa,niah_single,snapkv,0.25,sw,0-.25,0.0625,32
qwen25-7b-1m,qa,niah_single,snapkv,0.25,sw,.25-.5,0.0417,24
qwen25-7b-1m,qa,niah_single,snapkv,0.25,sw,.5-.75,0.0625,16
qwen25-7b-1m,qa,niah_single,snapkv,0.25,sw,.75-1,0.1429,28
qwen25-7b-1m,qa,niah_single,snapkv,0.25,vi,0-.25,0.0,26
qwen25-7b-1m,qa,niah_single,snapkv,0.25,vi,.25-.5,0.0,22
qwen25-7b-1m,qa,niah_single,snapkv,0.25,vi,.5-.75,0.0,21
qwen25-7b-1m,qa,niah_single,snapkv,0.25,vi,.75-1,0.0,31
qwen25-7b-1m,qa,niah_single,snapkv,0.25,zh,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,snapkv,0.25,zh,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,snapkv,0.25,zh,.5-.75,0.0625,16
qwen25-7b-1m,qa,niah_single,snapkv,0.25,zh,.75-1,0.3571,28
qwen25-7b-1m,qa,niah_single,snapkv,0.5,en,0-.25,0.1154,26
qwen25-7b-1m,qa,niah_single,snapkv,0.5,en,.25-.5,0.25,28
qwen25-7b-1m,qa,niah_single,snapkv,0.5,en,.5-.75,0.3333,18
qwen25-7b-1m,qa,niah_single,snapkv,0.5,en,.75-1,0.75,28
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ja,0-.25,0.1481,27
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ja,.25-.5,0.1111,27
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ja,.5-.75,0.1111,18
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ja,.75-1,0.25,28
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ko,0-.25,0.8519,27
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ko,.25-.5,0.9167,24
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ko,.5-.75,1.0,21
qwen25-7b-1m,qa,niah_single,snapkv,0.5,ko,.75-1,1.0,28
qwen25-7b-1m,qa,niah_single,snapkv,0.5,pl,0-.25,0.3438,32
qwen25-7b-1m,qa,niah_single,snapkv,0.5,pl,.25-.5,0.4545,22
qwen25-7b-1m,qa,niah_single,snapkv,0.5,pl,.5-.75,0.2222,18
qwen25-7b-1m,qa,niah_single,snapkv,0.5,pl,.75-1,0.6786,28
qwen25-7b-1m,qa,niah_single,snapkv,0.5,sw,0-.25,0.3125,32
qwen25-7b-1m,qa,niah_single,snapkv,0.5,sw,.25-.5,0.25,24
qwen25-7b-1m,qa,niah_single,snapkv,0.5,sw,.5-.75,0.125,16
qwen25-7b-1m,qa,niah_single,snapkv,0.5,sw,.75-1,0.1786,28
qwen25-7b-1m,qa,niah_single,snapkv,0.5,vi,0-.25,0.0385,26
qwen25-7b-1m,qa,niah_single,snapkv,0.5,vi,.25-.5,0.0455,22
qwen25-7b-1m,qa,niah_single,snapkv,0.5,vi,.5-.75,0.0,21
qwen25-7b-1m,qa,niah_single,snapkv,0.5,vi,.75-1,0.129,31
qwen25-7b-1m,qa,niah_single,snapkv,0.5,zh,0-.25,0.0312,32
qwen25-7b-1m,qa,niah_single,snapkv,0.5,zh,.25-.5,0.2917,24
qwen25-7b-1m,qa,niah_single,snapkv,0.5,zh,.5-.75,0.3125,16
qwen25-7b-1m,qa,niah_single,snapkv,0.5,zh,.75-1,0.8214,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,en,0-.25,0.0,26
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,en,.25-.5,0.0,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,en,.5-.75,0.0,18
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,en,.75-1,0.9643,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ja,0-.25,0.0,27
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ja,.25-.5,0.0,27
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ja,.5-.75,0.0,18
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ja,.75-1,1.0,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ko,0-.25,0.0,27
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ko,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ko,.5-.75,0.0,21
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,ko,.75-1,0.9643,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,pl,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,pl,.25-.5,0.0,22
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,pl,.5-.75,0.0,18
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,pl,.75-1,1.0,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,sw,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,sw,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,sw,.5-.75,0.0,16
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,sw,.75-1,0.25,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,vi,0-.25,0.0,26
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,vi,.25-.5,0.0,22
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,vi,.5-.75,0.0,21
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,vi,.75-1,0.9355,31
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,zh,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,zh,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,zh,.5-.75,0.0,16
qwen25-7b-1m,qa,niah_single,streaming_llm,0.25,zh,.75-1,0.9643,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,en,0-.25,0.0,26
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,en,.25-.5,0.0,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,en,.5-.75,1.0,18
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,en,.75-1,0.9643,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ja,0-.25,0.0,27
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ja,.25-.5,0.0,27
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ja,.5-.75,1.0,18
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ja,.75-1,1.0,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ko,0-.25,0.0,27
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ko,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ko,.5-.75,1.0,21
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,ko,.75-1,0.9643,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,pl,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,pl,.25-.5,0.1364,22
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,pl,.5-.75,1.0,18
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,pl,.75-1,1.0,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,sw,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,sw,.25-.5,0.0417,24
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,sw,.5-.75,0.25,16
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,sw,.75-1,0.2143,28
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,vi,0-.25,0.0,26
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,vi,.25-.5,0.0,22
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,vi,.5-.75,1.0,21
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,vi,.75-1,0.9355,31
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,zh,0-.25,0.0,32
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,zh,.25-.5,0.0,24
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,zh,.5-.75,1.0,16
qwen25-7b-1m,qa,niah_single,streaming_llm,0.5,zh,.75-1,0.9643,28
